Brand name,brand website,facebook link,instagram link
"2020CV","http://2020cv.com/","https://www.facebook.com/2020cv",""
"Yendo","https://www.yendo.com/","https://www.facebook.com/JoinYendo/","https://www.instagram.com/joinyendo/?hl=en"
"Cause Reports","https://www.causereports.com/","",""
"Savrpak","https://savrpak.com/","https://www.facebook.com/SAVRpak","https://www.instagram.com/savrpak/?hl=en"
"3Data","https://3data.io/","https://www.facebook.com/3DataCloud/",""
"Alethia.ai","https://alethea.ai/","",""
"Allstar Gaming","https://allstar.gg/","https://www.facebook.com/PlayShareStar/","https://www.instagram.com/playsharestar/"
"Allure Systems","https://www.alluresystems.com/","","https://www.instagram.com/alluresystems_/"
"Almost Friday Media","http://www.almostfriday.com/","","https://www.instagram.com/friday.beers/"
"Alyssa’s Bakery","https://alyssascookies.com/","https://www.facebook.com/alyssashealthycookie/","https://www.instagram.com/alyssascookies/"
"AngelHack Corporation","https://angelhack.com/","https://www.facebook.com/AngelHackHQ/",""
"Apptopia","https://apptopia.com/","",""
"Arbitrum","https://arbitrum.io/","",""
"Artists Den Entertainment","https://artistsden.com/","https://www.facebook.com/artistsden/","https://www.instagram.com/artistsden/"
"AXS TV","http://www.axs.tv/","http://www.facebook.com/axstv","http://www.instagram.com/axstv"
"Bala","https://shopbala.com/","https://www.facebook.com/balabangles","https://www.instagram.com/bala/"
"Baozza","http://www.baozza.com/","https://www.facebook.com/baozza","https://www.instagram.com/baozza/"
"Bequest Finance","https://www.bequest.finance/","",""
"Billshark","https://www.billshark.com/","https://www.facebook.com/realbillshark/","https://www.instagram.com/realbillshark/"
"Biolinq","","",""
"Biomeme","https://www.biomeme.com/","",""
"BizToc","https://biztoc.com/","https://www.facebook.com/biztoc","https://www.instagram.com/biztoc"
"Blocto","https://blocto.portto.com/","",""
"Bold Metrics","https://www.boldmetrics.com/","https://www.facebook.com/boldmetrics",""
"Brightwheel","https://mybrightwheel.com/","https://www.facebook.com/mybrightwheel/","https://www.instagram.com/mybrightwheel"
"Brondell","https://www.brondell.com/","https://www.facebook.com/Brondell.Inc/","https://www.instagram.com/brondell_inc/"
"BSB Brown Sugar Bourbon","https://brownsugarbourbon.com/","https://www.facebook.com/brownsugarbourbon","https://www.instagram.com/brownsugarbourbon/"
"Campus Ink","https://campus.ink/","","https://www.instagram.com/campus.ink/"
"Catalant","https://gocatalant.com/","https://www.facebook.com/GoCatalant/",""
"Catapult","https://www.catapultsports.com/","https://www.facebook.com/catapultsports/","https://www.instagram.com/catapultsports/"
"Cerebro Sports","","https://www.facebook.com/cerebrosports","https://instagram.com/cerebrosports"
"ChangEd","https://www.gochanged.com/","https://www.facebook.com/changedapp","https://www.instagram.com/changedapp/"
"Chapul","https://www.chapul.com/","https://www.facebook.com/ChapulRevolution/","https://www.instagram.com/chapulrevolution/"
"Chirps Chips","https://eatchirps.com/","https://www.facebook.com/eatchirps/","https://instagram.com/eatchirps/"
"CivicScience","https://civicscience.com/","https://www.facebook.com/CivicScience",""
"Clipbook","http://clipbook.io/","",""
"collegedebt.com","http://www.collegedebt.com/","",""
"Combat Flip Flops","https://www.combatflipflops.com/","https://www.facebook.com/combatflipflops","https://www.instagram.com/combatflipflops/"
"CommitChange","https://commitchange.com/","https://www.facebook.com/CommitChange",""
"Converus","https://converus.com/","https://www.facebook.com/converusinc/","https://www.instagram.com/converus.inc/"
"CryptoSlam","https://www.cryptoslam.io/","",""
"Cultivate","https://www.wecultivate.us/","","https://www.instagram.com/wecultivateus/"
"Cup Board Pro","https://firehousechefky.com/","https://www.facebook.com/FirehouseChefKY/","https://www.instagram.com/firehousechefky/"
"Dallas Mavericks","https://www.mavs.com/","https://www.facebook.com/dallasmavs/","https://www.instagram.com/dallasmavs/?hl=en"
"Dave","http://www.dave.com/","https://www.facebook.com/TheDaveApp/","https://www.instagram.com/thedaveapp/"
"dClimate","https://www.dclimate.net/","",""
"DeFi Alliance","https://www.defialliance.co/","",""
"Defined.fi","http://defined.fi/","",""
"Degreed","https://degreed.com/","https://www.facebook.com/DegreedOfficial","https://www.instagram.com/degreed/"
"Digest.ai","http://digest.ai/","","https://www.instagram.com/digest.ai/"
"DIRT","https://wearedirt.com/","",""
"Divorced Girl Smiling","https://www.divorcedgirlsmiling.com/","https://www.facebook.com/DivorcedGirlSmiling/","https://www.instagram.com/divorced_girl_smiling/"
"Dizzy & Vertigo Institute of Los Angeles","","https://www.facebook.com/dizzyandvertigo/","https://www.instagram.com/dizzyandvertigo/"
"Dude Products","https://www.dudeproducts.com/","https://www.facebook.com/dudeproducts","https://www.instagram.com/dudewipes"
"Dust","https://usedust.com/","https://www.facebook.com/DustAppOfficial/","https://www.instagram.com/dustapp/"
"Earth Brands","","https://www.facebook.com/earthcups/","https://www.instagram.com/earthcups/"
"Echo Valley Meats","https://www.echovalleymeats.com/","https://www.facebook.com/evmeats/",""
"Eon Health","https://www.eonhealth.com/","https://www.facebook.com/eonhealth/",""
"ERISA Recovery","https://erisarecovery.com/","https://www.facebook.com/ErisaRecovery",""
"Esprezzo","https://esprezzo.io/","",""
"EthPass","https://ethpass.xyz/","",""
"Fabric8Labs","http://fabric8labs.com/","",""
"Fabrica","https://www.fabrica.land/","",""
"Famous Finder","https://www.famousfinder.co/","",""
"Fat Shack","https://www.fatshack.com/","https://www.facebook.com/FatShackFortCollins","https://www.instagram.com/fatshack/"
"Finalyze Capital","http://finalyze.io/","",""
"Fireside","http://www.firesidechat.com/","","https://www.instagram.com/fireside/"
"FiscalNote","https://fiscalnote.com/","https://www.facebook.com/FiscalNote","https://www.instagram.com/fiscalnote/"
"Foam Party Hats","https://www.tiktok.com/@foampartyhats","https://facebook.com/foampartyhats","https://www.instagram.com/foampartyhats"
"Foodguides","https://foodguides.com/","https://www.facebook.com/foodguideshelp","https://www.instagram.com/foodguideshelp/"
"FORT Robotics","https://www.fortrobotics.com/","",""
"Gameday Couture","https://www.shopthesoho.com/","https://www.facebook.com/gamedaycouture","https://www.instagram.com/gamedaycouture/"
"Gecko Robotics","https://www.geckorobotics.com/","https://www.facebook.com/geckorobotics",""
"Genetesis","https://genetesis.com/","https://www.facebook.com/Genetesis/",""
"Global Teaching Project","https://www.globalteachingproject.com/","https://www.facebook.com/globalteachingproject/","https://www.instagram.com/global_teaching_project/"
"Glove Wrap","https://glovewrap.com/","https://www.facebook.com/glovewrap?mibextid=wwXIfr","https://www.instagram.com/glovewrap/profilecard/?igsh=NTc4MTIwNjQ2YQ=="
"Greek Basketball Association","https://www.greekbasketballassociation.com/","","https://www.instagram.com/gba.national/"
"Guardian Bikes","https://www.tiktok.com/@guardianbikes","","https://www.instagram.com/guardianbikes/"
"Guardian Mobile Firewall","https://guardianapp.com/","",""
"Hala Systems","https://halasystems.com/","https://www.facebook.com/HalaSystems/",""
"HiccAway","https://hiccaway.com/","https://facebook.com/HiccAway","https://instagram.com/HiccAway"
"Hirebotics","https://www.hirebotics.com/","","https://www.instagram.com/hirebotics/"
"HomeCourt","https://www.homecourt.ai/about","https://www.facebook.com/HomeCourtAi/",""
"Hugo’s Amazing Tape","https://www.amazingtape.com/","https://www.facebook.com/myamazingtape/","https://www.instagram.com/hugostape/"
"HYPERVSN","https://hypervsn.com/","https://www.facebook.com/HYPERVSN.uk/","https://www.instagram.com/hypervsn_uk/"
"Ice Shaker","https://www.iceshaker.com/","https://facebook.com/iceshakerbottle",""
"IceBeanie","https://icebeanie.com/","http://facebook.com/Icebeanie","http://instagram.com/IceBeanie"
"IFTTT","https://ifttt.com/","https://www.facebook.com/ifttt/",""
"Illuno","http://www.illuno.com/","https://www.facebook.com/illuno.official","https://www.instagram.com/illuno.official/"
"MeshTek Labs","https://meshtek.com/","https://www.facebook.com/MeshtekLabs/",""
"Immi","","","https://www.instagram.com/immi.io/"
"Injective Protocol","https://injectiveprotocol.com/","","https://www.instagram.com/injectivelabs/"
"Ink, Inc.","https://www.ink.id/","","https://www.instagram.com/inkdifferent_/"
"Inside.com","https://inside.com/","https://facebook.com/inside",""
"Interlock Studios","https://interlockstudios.com/","",""
"Joy Milk Tea","","","https://www.instagram.com/joymilktea"
"Klima","https://klimadao.finance/","",""
"Labdoor","https://labdoor.com/","https://facebook.com/labdoor","https://instagram.com/labdoor"
"Lazy","https://lazy.com/","","https://www.instagram.com/lazynfts/"
"Lightyear","https://www.lightyear.ai/","",""
"Loliware","https://www.loliware.com/","https://www.facebook.com/LOLIWARE-1613039715645348/","https://www.instagram.com/loliware/?hl=en"
"Lucky Ducks","https://knowyourhorses.com/","",""
"LuminAID","https://luminaid.com/","https://www.facebook.com/luminaid","https://www.instagram.com/luminaid/"
"Mad Rabbit","https://www.madrabbit.com/","https://www.facebook.com/shopmadrabbit/","https://www.instagram.com/madrabbit/"
"Magnolia Pictures","https://www.magnoliapictures.com/","https://www.facebook.com/AlamoVA/","https://www.instagram.com/drafthouse/"
"Mahmee","https://www.mahmee.com/","https://www.facebook.com/getmahmee",""
"Mark Cuban Cost Plus Drug Company","https://costplusdrugs.com/","https://www.facebook.com/costplusdrugs/",""
"Mark Cuban Foundation","http://markcubanai.org/","",""
"Mavs Foundation","https://www.mavs.com/community/dallas-mavericks-foundation/","","https://www.instagram.com/MavsFoundation/"
"REDEF","https://redef.com/","https://www.facebook.com/MediaREDEF/",""
"Melni Technologies","https://melnitechnologies.com/","","https://www.instagram.com/melnitechnologies/"
"MobileODT","https://www.mobileodt.com/","https://www.facebook.com/MobileODT/",""
"Momentum","http://www.givemomentum.com/","",""
"Moolah Kicks","https://moolahkicks.com/","","https://www.instagram.com/moolahkicks/?hl=en"
"Moov Technologies","https://www.moov.co/","https://www.facebook.com/moovtechnologies/",""
"Motion Sports","https://www.motionsports.io/","","https://www.instagram.com/motionsportsinc/?hl=en"
"MUSH","https://eatmush.com/","https://www.facebook.com/mushfoods/","https://www.instagram.com/mush/"
"Mustard","http://www.teammstrd.com/","https://www.facebook.com/teammstrd1","https://www.instagram.com/teammstrd/"
"Neutral Foods","http://www.eatneutral.com/","","https://www.instagram.com/eatneutral/"
"Nimble","https://www.nimble.com/","https://www.facebook.com/nimble","https://instagram.com/nimblegram"
"NOSHI","","","https://www.instagram.com/noshiforkids/"
"Numilk","https://www.numilk.com/","https://www.facebook.com/numilkfresh","https://www.instagram.com/numilk/"
"Nuts ‘N More","https://nuts-n-more.com/","https://www.facebook.com/NutsNMore/","https://www.instagram.com/nutsnmore/"
"Offbeat Media Group","http://virtualhumans.org/","https://www.facebook.com/Offbeat.xyz","https://www.instagram.com/offbeat.xyz"
"Oorbit","","",""
"Open Garden","https://opengarden.com/","",""
"OpenSea","https://docs.opensea.io/docs/getting-started","","http://instagram.com/opensea"
"Osaro","https://www.osaro.com/","https://www.facebook.com/OsaroAI/",""
"Otolith Labs","https://otolithlabs.com/","https://www.facebook.com/otolithlabs",""
"Overplay","https://overplay.com/","https://www.facebook.com/overplaygamers/","https://www.instagram.com/overplay.games/"
"P-Nuff","https://www.pnuff.com/","https://www.facebook.com/pnuffcrunch/","https://www.instagram.com/pnuffcrunch/"
"Packback","https://www.packback.co/","https://www.facebook.com/packbackco","https://www.instagram.com/packbackco/"
"PadSplit","http://padsplit.com/","https://www.facebook.com/PadSplit","https://www.instagram.com/padsplit/"
"Paladin","https://www.joinpaladin.com/","https://www.facebook.com/Paladin-1668298390082848/",""
"Pan’s Mushroom Jerky","https://www.mushroomjerky.com/","https://www.facebook.com/mushroomjerky","https://www.instagram.com/mushroomjerky/"
"Pascal Tags","https://pascaltags.com/","",""
"Phaidra","https://deepmind.com/blog/article/deepmind-ai-reduces-google-data-centre-cooling-bill-40","",""
"Philo","https://try.philo.com/","https://www.facebook.com/PhiloTV/",""
"Pick-up Pools","https://pickuppools.com/","https://www.facebook.com/Pick-up-Pools-278445645679703/","https://www.instagram.com/pickuppools/"
"Polygon","https://docs.matic.network/docs/develop/getting-started","",""
"Prep Expert","https://prepexpert.com/","https://www.facebook.com/prepexpert/","https://www.instagram.com/prep_expert/"
"Pricestack","https://pricestack.com/","",""
"QBall","https://www.buyqball.com/","https://www.facebook.com/peeq.us/","https://www.instagram.com/gopeeq/"
"R. Riveter","https://www.rriveter.com/","https://www.facebook.com/RRiveterBags/","https://www.instagram.com/rriveterbags/"
"Ready Set Food","http://preventallergies.org/","https://www.facebook.com/readysetfood/","https://www.instagram.com/_readysetfood/"
"Regent Craft","https://www.regentcraft.com/","https://www.facebook.com/regentcraft","https://www.instagram.com/regentcraft/"
"Relativity Space","https://www.relativityspace.com/","https://www.facebook.com/relativityspace/","https://www.instagram.com/relativityspace/"
"Remento","http://www.remento.co/","https://www.facebook.com/getremento","https://www.instagram.com/getremento/"
"Retold Recycling","https://www.tiktok.com/@retoldrecycling","https://www.facebook.com/retoldrecycling/","https://www.instagram.com/retoldrecycling/"
"Richualist","https://richualist.com/","https://www.facebook.com/richualist/","https://www.instagram.com/getrichualist/"
"Rock The Bells","http://www.rockthebells.com/","https://www.facebook.com/rockthebellsfestival/","https://www.instagram.com/rockthebells/"
"Samaya AI","https://samaya.ai/","",""
"Samba TV","https://samba.tv/","https://www.facebook.com/sambatelevision/","https://www.instagram.com/samba_tv"
"Scoutible","https://www.scoutible.com/","https://www.facebook.com/scoutible/",""
"Selery Fulfillment","https://www.seleryfulfillment.com/","https://www.facebook.com/Seleryit","https://www.instagram.com/seleryfulfillment/"
"Settle","https://settle.com/","",""
"ShiftSmart","https://shiftsmart.com/","https://www.facebook.com/getshiftsmart/",""
"Shower Toga","https://showertoga.com/","https://www.facebook.com/showertoga/","https://www.instagram.com/shower_toga/"
"Simple Sugars","https://www.simplesugarsskincare.com/","https://www.facebook.com/simplesugars/","https://www.instagram.com/simplesugars/"
"Skylight Social","https://skylight.social/","",""
"Snacklins","https://www.snacklins.com/","http://www.facebook.com/eatsnacklins","https://instagram.com/eatsnacklins"
"Sonara","http://www.sonarahealth.com/","",""
"Sparkcharge","https://www.sparkcharge.io/","https://www.facebook.com/SparkChargeCorp","https://www.instagram.com/sparkcharge.io"
"Spontivly","https://spontivly.com/","https://www.facebook.com/spontivlydata","https://www.instagram.com/spontivlydata/"
"Sportlogiq","https://sportlogiq.com/","https://www.facebook.com/sportlogiq/","https://www.instagram.com/sportlogiq/"
"Sportradar","http://www.sportradar.com/","https://www.facebook.com/sportradarofficial/","https://www.instagram.com/sportradarofficial"
"Sriracha2Go","https://sriracha2go.com/","https://facebook.com/sriracha2go","https://www.instagram.com/sriracha2go/?hl=en"
"Stage TEN","http://www.stageten.tv/","https://www.facebook.com/profile.php?id=61560825655720","https://www.instagram.com/stageten.tv/"
"StatSocial","https://www.statsocial.com/","https://www.facebook.com/statsocial/",""
"Storage Scholars","https://www.storagescholars.com/","https://www.facebook.com/storagescholars","https://www.instagram.com/storagescholars/"
"Strateos","https://www.strateos.com/","",""
"Strella Biotechnology","https://www.strellabiotech.com/","",""
"SubSafe","https://thesubsafe.com/","https://www.facebook.com/TheSubSafe/","https://www.instagram.com/thesubsafe/"
"SuperRare","https://superrare.co/","","https://www.instagram.com/superrare.co/"
"Sweet Tooth Hotel","https://sweettoothhotel.com/","https://www.facebook.com/sweettoothhotel/","https://www.instagram.com/sweettoothhotel/"
"Synaptrix Labs","https://www.synaptrix-labs.com/","",""
"Synthesia","https://www.synthesia.io/2","","https://www.instagram.com/synthesiaio/"
"Texas Legends","https://texas.gleague.nba.com/","http://www.facebook.com/texlegends","http://www.instagram.com/texaslegends"
"The Holiball","https://theholiball.com/","https://www.facebook.com/theholiball/","https://www.instagram.com/theholiball/?hl=en"
"The Lapel Project","https://www.thelapelproject.com/","https://www.facebook.com/thelapelproject/","https://www.instagram.com/thelapelproject/"
"The Living Christmas Company","https://www.livingchristmas.com/","https://www.facebook.com/livingchristmas/",""
"The Longhairs","https://thelonghairs.us/","https://www.facebook.com/YoLonghairs/","https://instagram.com/thelonghairs"
"The Zebra","https://www.thezebra.com/","https://www.facebook.com/TheZebraCo","https://www.instagram.com/TheZebraCo"
"THEMAGIC5","https://themagic5.com/","https://www.facebook.com/themagic5com/","https://www.instagram.com/themagic5/"
"ThirdWeb","http://thirdweb.com/","","https://www.instagram.com/thirdweb/"
"Three Commas","https://threecommas.com/","https://www.facebook.com/threecommasapparel/","https://www.instagram.com/threecommas/"
"Toggle Robotics","https://www.toggle.is/","",""
"tokenproof","","",""
"TokenScript","https://www.tokenscript.org/","",""
"Tower Paddle Boards","https://www.towerpaddleboards.com/","https://www.facebook.com/TowerSUP/","https://www.instagram.com/towerpaddleboard/"
"TransCrypts","http://www.transcrypts.com/","","https://www.instagram.com/transcrypts_/"
"TrophySmack","https://trophysmack.com/","http://facebook.com/TrophySmack","https://www.instagram.com/TrophySmack/"
"Truffle Shuffle","https://www.truffleshufflesf.com/","https://www.facebook.com/truffleshuffleSF/","https://www.instagram.com/truffleshuffle_sf/"
"Twist It Up","https://www.twistitupcomb.com/","https://www.facebook.com/twistitupcomb","https://www.instagram.com/twistitup/"
"Underdog Sports","https://underdogfantasy.com/","",""
"Unite Genomics","https://www.unitegenomics.com/signup","https://www.facebook.com/UniteGenomics/","https://www.instagram.com/unitegenomics/"
"Mrs. Goldfarb’s Unreal Deli","https://www.unrealdeli.com/","https://www.facebook.com/unrealdeli/","https://www.instagram.com/unrealdeli/"
"Upstart","https://www.upstart.com/","https://www.facebook.com/TeamUpstart/","https://www.instagram.com/upstart/"
"Validic","https://validic.com/","",""
"VibeRide","https://viberide.com/","https://www.facebook.com/viberide.co","https://www.instagram.com/viberide.co/"
"vidIQ","https://vidiq.com/","https://www.facebook.com/vidIQapp/",""
"Virtuix Omni","https://www.virtuix.com/","https://www.facebook.com/VirtuixOmni",""
"Percepto","https://percepto.co/","https://www.facebook.com/perceptodrones/",""
"VNTANA","https://www.vntana.com/","https://www.facebook.com/VNTANAlive","https://www.instagram.com/vntanalive/"
"WONDRY Wine Co.","https://wondrywine.com/","https://www.facebook.com/wondrywine/","https://www.instagram.com/wondrywine/"
"WriteyBoard","https://writeyboards.com/","https://www.facebook.com/getwritey","https://www.instagram.com/writey_/"
"Zapper.Fi","https://zapper.fi/","",""
"ZenLedger","https://www.zenledger.io/","https://www.facebook.com/ZenLedger",""
"ZergNet","https://www.zergnet.com/","https://www.facebook.com/ZergNetOfficial/",""
"Zoobean","https://www.zoobean.com/","https://www.facebook.com/Zoobean/","https://www.instagram.com/zoobean/"